Page URL,UI Feature,Expected API Endpoint(s),Auth Required (Y/N),CRUD verbs
https://online.brxperformance.com/authentication,Authentication,/api/v4/users/sign_in; /api/v4/users/password,Y,Create
https://online.brxperformance.com/authentication,Authentication,/api/v4/sign_out,Y,Delete
https://online.brxperformance.com/appointments-management,User Management,/api/v4/users; /api/v4/users; /api/v4/users/{id}; /api/v4/users/{id},Y,"Delete, Read, Create"
https://online.brxperformance.com/appointments-management,User Management,/api/v4/users/{id}/workout_exercises,Y,Read
https://online.brxperformance.com/workouts,Workout Management,/api/v3/workout_blocks; /api/v3/workout_blocks; /api/v3/workout_blocks/{id}; /api/v3/workout_blocks/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workouts,Workout Management,/api/v4/workout_exercises; /api/v4/workout_exercises; /api/v4/workout_exercises/{id}; /api/v4/workout_exercises/{id}; /api/v4/workout_exercises/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workouts,Workout Management,/api/v4/plan_workouts; /api/v4/plan_workouts; /api/v4/plan_workouts/{id}; /api/v4/plan_workouts/{id}; /api/v4/plan_workouts/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workouts,Workout Management,/api/v4/workout-plans; /api/v4/workout-plans; /api/v4/workout-plans/{id}; /api/v4/workout-plans/{id}; /api/v4/workout-plans/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workouts,Workout Management,/api/v4/workout-plans/{id}/rep_maxes,Y,Read
https://online.brxperformance.com/workouts,Workout Management,/api/v4/workouts; /api/v4/workouts; /api/v4/workouts/{id}; /api/v4/workouts/{id}; /api/v4/workouts/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout/{id},Workout Management,/api/v3/workout_blocks; /api/v3/workout_blocks; /api/v3/workout_blocks/{id}; /api/v3/workout_blocks/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout/{id},Workout Management,/api/v4/workout_exercises; /api/v4/workout_exercises; /api/v4/workout_exercises/{id}; /api/v4/workout_exercises/{id}; /api/v4/workout_exercises/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout/{id},Workout Management,/api/v4/plan_workouts; /api/v4/plan_workouts; /api/v4/plan_workouts/{id}; /api/v4/plan_workouts/{id}; /api/v4/plan_workouts/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout/{id},Workout Management,/api/v4/workout-plans; /api/v4/workout-plans; /api/v4/workout-plans/{id}; /api/v4/workout-plans/{id}; /api/v4/workout-plans/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout/{id},Workout Management,/api/v4/workout-plans/{id}/rep_maxes,Y,Read
https://online.brxperformance.com/workout/{id},Workout Management,/api/v4/workouts; /api/v4/workouts; /api/v4/workouts/{id}; /api/v4/workouts/{id}; /api/v4/workouts/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout-plans,Workout Management,/api/v3/workout_blocks; /api/v3/workout_blocks; /api/v3/workout_blocks/{id}; /api/v3/workout_blocks/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout-plans,Workout Management,/api/v4/workout_exercises; /api/v4/workout_exercises; /api/v4/workout_exercises/{id}; /api/v4/workout_exercises/{id}; /api/v4/workout_exercises/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout-plans,Workout Management,/api/v4/plan_workouts; /api/v4/plan_workouts; /api/v4/plan_workouts/{id}; /api/v4/plan_workouts/{id}; /api/v4/plan_workouts/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout-plans,Workout Management,/api/v4/workout-plans; /api/v4/workout-plans; /api/v4/workout-plans/{id}; /api/v4/workout-plans/{id}; /api/v4/workout-plans/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout-plans,Workout Management,/api/v4/workout-plans/{id}/rep_maxes,Y,Read
https://online.brxperformance.com/workout-plans,Workout Management,/api/v4/workouts; /api/v4/workouts; /api/v4/workouts/{id}; /api/v4/workouts/{id}; /api/v4/workouts/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout-plan/{id},Workout Management,/api/v3/workout_blocks; /api/v3/workout_blocks; /api/v3/workout_blocks/{id}; /api/v3/workout_blocks/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout-plan/{id},Workout Management,/api/v4/workout_exercises; /api/v4/workout_exercises; /api/v4/workout_exercises/{id}; /api/v4/workout_exercises/{id}; /api/v4/workout_exercises/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout-plan/{id},Workout Management,/api/v4/plan_workouts; /api/v4/plan_workouts; /api/v4/plan_workouts/{id}; /api/v4/plan_workouts/{id}; /api/v4/plan_workouts/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout-plan/{id},Workout Management,/api/v4/workout-plans; /api/v4/workout-plans; /api/v4/workout-plans/{id}; /api/v4/workout-plans/{id}; /api/v4/workout-plans/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/workout-plan/{id},Workout Management,/api/v4/workout-plans/{id}/rep_maxes,Y,Read
https://online.brxperformance.com/workout-plan/{id},Workout Management,/api/v4/workouts; /api/v4/workouts; /api/v4/workouts/{id}; /api/v4/workouts/{id}; /api/v4/workouts/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/appointments-management,Workout Management,/api/v3/workout_blocks; /api/v3/workout_blocks; /api/v3/workout_blocks/{id}; /api/v3/workout_blocks/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/appointments-management,Workout Management,/api/v4/workout_exercises; /api/v4/workout_exercises; /api/v4/workout_exercises/{id}; /api/v4/workout_exercises/{id}; /api/v4/workout_exercises/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/appointments-management,Workout Management,/api/v4/plan_workouts; /api/v4/plan_workouts; /api/v4/plan_workouts/{id}; /api/v4/plan_workouts/{id}; /api/v4/plan_workouts/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/appointments-management,Workout Management,/api/v4/workout-plans; /api/v4/workout-plans; /api/v4/workout-plans/{id}; /api/v4/workout-plans/{id}; /api/v4/workout-plans/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/appointments-management,Workout Management,/api/v4/workout-plans/{id}/rep_maxes,Y,Read
https://online.brxperformance.com/appointments-management,Workout Management,/api/v4/workouts; /api/v4/workouts; /api/v4/workouts/{id}; /api/v4/workouts/{id}; /api/v4/workouts/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/exercises,Exercise Management,/api/v4/exercises; /api/v4/exercises/{id}; /api/v4/exercises/{id},Y,"Read, Update"
https://online.brxperformance.com/exercises,Exercise Management,/api/v4/exercises/,Y,Create
https://online.brxperformance.com/exercise/{id},Exercise Management,/api/v4/exercises; /api/v4/exercises/{id}; /api/v4/exercises/{id},Y,"Read, Update"
https://online.brxperformance.com/exercise/{id},Exercise Management,/api/v4/exercises/,Y,Create
https://online.brxperformance.com/exercise-library,Exercise Management,/api/v4/exercises; /api/v4/exercises/{id}; /api/v4/exercises/{id},Y,"Read, Update"
https://online.brxperformance.com/exercise-library,Exercise Management,/api/v4/exercises/,Y,Create
https://online.brxperformance.com/appointments-management,Exercise Management,/api/v4/exercises; /api/v4/exercises/{id}; /api/v4/exercises/{id},Y,"Read, Update"
https://online.brxperformance.com/appointments-management,Exercise Management,/api/v4/exercises/,Y,Create
https://online.brxperformance.com/equipment,Equipment Management,/api/v3/equipment; /api/v3/equipment; /api/v3/equipment/{id}; /api/v3/equipment/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/gym-equipment,Equipment Management,/api/v3/equipment; /api/v3/equipment; /api/v3/equipment/{id}; /api/v3/equipment/{id},Y,"Delete, Read, Create, Update"
https://online.brxperformance.com/appointments-management,Equipment Management,/api/v3/equipment; /api/v3/equipment; /api/v3/equipment/{id}; /api/v3/equipment/{id},Y,"Delete, Read, Create, Update"
